100tips alltips gamma 25tips
4845.34991614111 5011.01476647477 0.08 4930.27646071054 
5158.38221599464 5324.0470663283 0.16 5243.30876056407 
5333.3271210713 5498.99197140497 0.24 5418.25366564073 
5451.73616903291 5617.40101936658 0.32 5536.66271360234 
5539.16672684848 5704.83157718215 0.4 5624.09327141791 
5607.00272729434 5772.667577628 0.48 5691.92927186377 
5661.31670679616 5826.98155712983 0.56 5746.24325136559 
5705.7334284407 5871.39827877437 0.64 5790.65997301013 
5742.59093874051 5908.25578907418 0.72 5827.51748330995 
5773.48563944102 5939.15048977468 0.8 5858.41218401045 
5799.55617893185 5965.22102926551 0.88 5884.48272350128 
5821.64329307162 5987.30814340528 0.96 5906.56983764105 
5840.38544593968 6006.05029627334 1.04 5925.31199050911 
5856.2789257582 6021.94377609187 1.12 5941.20547032763 
5869.71715725669 6035.38200759036 1.2 5954.64370182613 
5881.01730058749 6046.68215092115 1.28 5965.94384515692 
5890.43877224414 6056.10362257781 1.36 5975.36531681357 
5898.19646407206 6063.86131440572 1.44 5983.12300864149 
5904.47038346655 6070.13523380021 1.52 5989.39692803598 
5909.41281795732 6075.07766829099 1.6 5994.33936252675 
5913.1537499434 6078.81860027706 1.68 5998.08029451283 
5915.8050106329 6081.46986096656 1.76 6000.73155520233 
5917.46350985164 6083.12836018531 1.84 6002.39005442107 
5918.21377795742 6083.87862829108 1.92 6003.14032252685 
5918.1299885119 6083.79483884557 2 6003.05653308133 
5917.27758401022 6082.94243434389 2.08 6002.20412857965 
5915.71459462674 6081.37944496041 2.16 6000.64113919618 
5913.49271701353 6079.15756734719 2.24 5998.41926158296 
5910.65820370768 6076.32305404135 2.32 5995.58474827711 
5907.25260169676 6072.91745203043 2.4 5992.1791462662 
5903.31336983656 6068.97822017022 2.48 5988.23991440599 
5898.8743982123 6064.53924854597 2.56 5983.80094278173 
5893.9664475571 6059.63129789076 2.64 5978.89299212653 
5888.6175230537 6054.28237338736 2.72 5973.54406762313 
5882.85319393761 6048.51804427128 2.8 5967.77973850704 
5876.69686806637 6042.36171840004 2.88 5961.62341263581 
5870.17002886143 6035.8348791951 2.96 5955.09657343086 
5863.29244064561 6028.95729097928 3.04 5948.21898521504 
5856.08232730393 6021.7471776376 3.12 5941.00887187336 
5848.55652832114 6014.22137865481 3.2 5933.48307289057 
5840.73063554927 6006.39548588294 3.28 5925.65718011871 
5832.61911349197 5998.28396382564 3.36 5917.5456580614 
5824.23540543361 5989.90025576728 3.44 5909.16195000304 
5815.59202736623 5981.2568776999 3.52 5900.51857193566 
5806.70065135997 5972.36550169363 3.6 5891.6271959294 
5797.57217976972 5963.23703010339 3.68 5882.49872433916 
5788.21681146055 5953.88166179421 3.76 5873.14335602998 
5778.64410106026 5944.30895139393 3.84 5863.5706456297 
5768.86301210232 5934.52786243599 3.92 5853.78955667175 
5758.88196479949 5924.54681513316 4 5843.80850936892 
